,item_name,main_category,sub_category,unit_buying_price,unit_selling_price,unit_price_margin,quantity,revenue,profit
20,Amberella Curry,Pantry Staples,Sauce,3.9500000000000015,5.489999999999998,1.5399999999999994,29.0,159.21000000000004,44.65999999999999
290,Dearana Kohila Dalu Curry 350G,Pantry Staples,Sauces,3.700000000000002,4.989999999999998,1.2899999999999994,29.0,144.71,37.40999999999999
220,Cinnamon Powder 250G,Pantry Staples,Spices,2.0,3.4899999999999993,1.49,29.0,101.20999999999998,43.21
1007,Sunflower Oil 2Lt,Pantry Staples,Oil,4.8,6.5,1.7000000000000006,29.0,188.5,49.30000000000002
343,Derana Keeri Samba 1Kg,Pantry Staples,Rice,2.7999999999999985,3.989999999999999,1.1900000000000002,29.0,115.70999999999997,34.510000000000005
313,Derana Chilli Powder 250G,Pantry Staples,Spices,1.9500000000000008,2.590000000000002,0.6400000000000002,29.0,75.11000000000006,18.560000000000006
783,Paprika Sweet 200G,Pantry Staples,Spices,2.799999999999999,3.9899999999999993,1.1900000000000004,29.0,115.70999999999998,34.510000000000005
1072,Turmeric Powder100G,Pantry Staples,Spices,0.0,1.7999999999999992,1.7999999999999992,29.0,52.199999999999974,52.199999999999974
852,Polos Ambula 675G,Pantry Staples,Sauces,6.199999999999998,8.5,2.2999999999999985,28.0,238.0,64.39999999999996
1078,V/ R Coconut Sambol 300G,Pantry Staples,Sauces,3.700000000000002,5.5,1.7999999999999992,28.0,154.0,50.39999999999998
255,Corriander Ground 200G,Pantry Staples,Spices,2.7999999999999985,4.489999999999998,1.6899999999999995,28.0,125.71999999999996,47.319999999999986
258,Cous Cous Wholemeal 450G,Pantry Staples,Grains And Pulses,1.9399999999999993,2.99,1.0500000000000005,28.0,83.72,29.400000000000013
411,Dried Paraw 250G Agro,Pantry Staples,Dried Fish,6.0,7.5,1.5,28.0,210.0,42.0
730,Mustard Seed Brown 250G,Pantry Staples,Spices,1.5,5.0,3.5,27.0,135.0,94.5
499,Goraka Paste Derana,Pantry Staples,Condiments,3.5999999999999983,4.989999999999998,1.3900000000000003,27.0,134.72999999999996,37.53000000000001
828,Pepper Powder Wij 250G,Pantry Staples,Spices,6.949999999999998,8.990000000000002,2.0399999999999996,26.0,233.74000000000007,53.039999999999985
340,Derana Jaffna Curry Powder 350G,Pantry Staples,Spices,4.299999999999998,5.599999999999998,1.3000000000000003,26.0,145.59999999999994,33.800000000000004
